age_norm,gender_enc,marital_enc,education_enc,income_enc,physiological_risk,behavioral_risk,textual_risk,composite_risk,risk_tier_enc,interaction_count_norm,last_reward_norm,escalation_count_norm,risk_tier
0.05882353,2.0,3.0,4.0,0.33333334,0.43788,0.75,0.7037,0.63641,0.0,0.0,0.5,0.0,2
0.9411765,2.0,1.0,5.0,0.854,0.0409665,0.15201789,0.11040131,0.09977145,0.0,0.0,0.0,0.0,0
0.0,2.0,3.0,3.0,0.0,0.1489143,0.020656604,0.0,0.048658706,0.0,0.0,0.0,0.0,0
0.47058824,1.0,1.0,2.0,0.292,0.065360375,0.11934485,0.053319015,0.072396085,0.0,0.0,0.0,0.0,0
1.0,2.0,1.0,4.0,0.368,0.076252066,0.09480675,0.12188417,0.102091804,0.0,0.0,0.0,0.0,0
0.0,2.0,3.0,4.0,0.5,0.20255,0.625,0.2963,0.34607,0.0,0.0,0.5,0.0,1
0.7058824,2.0,1.0,4.0,0.828,0.07714459,0.091310844,0.060267016,0.07253544,0.0,0.0,0.0,0.0,0
0.8235294,1.0,1.0,5.0,0.198,0.13649005,0.09236373,0.113076136,0.115089074,0.0,0.0,0.0,0.0,0
0.23529412,1.0,3.0,4.0,0.6666667,0.1307,0.575,0.18519,0.26088,0.0,0.0,0.5,0.0,0
0.88235295,2.0,1.0,5.0,1.0,0.019251896,0.017100172,0.0,0.009685893,0.0,0.0,0.0,0.0,0
0.1764706,1.0,3.0,4.0,0.5,0.37552,0.625,0.2963,0.39694,0.0,0.0,0.5,0.0,2
0.05882353,2.0,3.0,4.0,0.8333333,0.77864,0.9,0.85185,0.84165,0.0,0.0,0.5,0.0,2
0.11764706,1.0,3.0,4.0,0.16666667,0.15705,0.5,0.03704,0.18127,0.0,0.0,0.5,0.0,0
1.0,1.0,1.0,4.0,1.0,0.022249674,0.15728828,0.0155605925,0.050875664,0.0,0.0,0.0,0.0,0
0.9411765,2.0,3.0,4.0,0.076,0.058737528,0.13822031,0.06735931,0.08149666,0.0,0.0,0.0,0.0,0
0.11764706,2.0,3.0,3.0,0.016,0.008993434,0.037146106,0.06233435,0.0407192,0.0,0.0,0.0,0.0,0
0.05882353,2.0,3.0,4.0,0.5,0.31012,0.675,0.37037,0.42433,0.0,0.0,0.5,0.0,1
0.23529412,2.0,3.0,4.0,0.6666667,0.6571,0.65,0.51852,0.59021,0.0,0.0,0.5,0.0,2
0.5882353,2.0,1.0,4.0,0.922,0.04924994,0.067261875,0.075074814,0.06564093,0.0,0.0,0.0,0.0,0
0.3529412,2.0,1.0,4.0,0.126,0.16198726,0.054339472,0.07458204,0.0955265,0.0,0.0,0.0,0.0,0
0.0,1.0,3.0,4.0,0.8333333,0.49704,0.475,0.33333,0.41481,0.0,0.0,0.5,0.0,2
0.8235294,1.0,1.0,2.0,0.478,0.002846558,0.017414976,0.07503047,0.04024332,0.0,0.0,0.0,0.0,0
0.1764706,2.0,3.0,4.0,0.8333333,0.0,0.575,0.03704,0.15272,0.0,0.0,0.5,0.0,0
0.3529412,2.0,1.0,2.0,0.24,0.09214537,0.0,0.09195615,0.07037506,0.0,0.0,0.0,0.0,0
0.9411765,1.0,3.0,4.0,0.33333334,0.0,0.4,0.0,0.09412,0.0,0.0,0.5,0.0,0
0.05882353,1.0,3.0,3.0,0.368,0.17436655,0.2115156,0.2338925,0.21111971,0.0,0.0,0.0,0.0,0
0.88235295,2.0,1.0,4.0,0.294,0.053818386,0.13573398,0.17547682,0.13034368,0.0,0.0,0.0,0.0,0
0.11764706,1.0,3.0,4.0,0.5,0.27336,0.55,0.59259,0.48868,0.0,0.0,0.5,0.0,1
0.23529412,2.0,3.0,4.0,0.5,0.30936,0.7,0.2963,0.39513,0.0,0.0,0.5,0.0,1
0.1764706,2.0,3.0,4.0,1.0,0.49892,0.575,0.33333,0.4389,0.0,0.0,0.5,0.0,2
0.0,1.0,3.0,4.0,0.6666667,0.20143,0.45,0.18519,0.25227,0.0,0.0,0.5,0.0,0
0.11764706,2.0,3.0,4.0,0.33333334,0.66556,0.65,0.74074,0.69728,0.0,0.0,0.5,0.0,2
0.64705884,2.0,3.0,2.0,0.034,0.032787483,0.18002604,0.12694812,0.111742735,0.0,0.0,0.0,0.0,0
0.11764706,2.0,3.0,4.0,0.5,0.0,0.475,0.07407,0.14662,0.0,0.0,0.5,0.0,0
0.11764706,1.0,3.0,4.0,0.33333334,0.29419,0.675,0.2963,0.38478,0.0,0.0,0.5,0.0,1
0.7647059,2.0,1.0,5.0,1.0,0.043844376,0.07405632,0.08186067,0.06884309,0.0,0.0,0.0,0.0,0
0.1764706,1.0,3.0,4.0,0.8333333,0.20386,0.45,0.07407,0.2007,0.0,0.0,0.5,0.0,0
0.11764706,1.0,3.0,3.0,0.53,0.044175792,0.08376997,0.12893976,0.093380995,0.0,0.0,0.0,0.0,0
0.23529412,1.0,3.0,4.0,0.33333334,0.28239,0.525,0.22222,0.31116,0.0,0.0,0.5,0.0,1
0.4117647,2.0,2.0,5.0,0.962,0.09022213,0.023182781,0.047724333,0.0544492,0.0,0.0,0.0,0.0,0
0.29411766,2.0,1.0,2.0,0.108,0.0,0.0,0.028744595,0.013526869,0.0,0.0,0.0,0.0,0
0.4117647,1.0,3.0,4.0,0.646,0.07705904,0.13961388,0.09429051,0.09988675,0.0,0.0,0.0,0.0,0
0.0,1.0,3.0,4.0,0.8333333,0.31095,0.575,0.48148,0.45333,0.0,0.0,0.5,0.0,1
0.23529412,1.0,3.0,4.0,0.22,0.09945976,0.12994,0.0,0.059826985,0.0,0.0,0.0,0.0,0
